ticker,average_weight,simulation,strategy
GSG,0.0,21,market_cap
SGOV,0.0,21,market_cap
VT,1.0,21,market_cap
BND,0.19999999999999957,21,equal_weight
GLD,0.19999999999999957,21,equal_weight
GSG,0.19999999999999957,21,equal_weight
SGOV,0.19999999999999957,21,equal_weight
VT,0.19999999999999957,21,equal_weight
BND,0.3000000000000002,22,min_variance
GLD,0.09999999999999978,22,min_variance
GSG,0.09999999999999978,22,min_variance
SGOV,0.39999999999999913,22,min_variance
VT,0.09999999999999978,22,min_variance
BND,0.2569279487179489,22,max_sharpe
GLD,0.26865367521367534,22,max_sharpe
GSG,0.10646350427350405,22,max_sharpe
SGOV,0.18463119658119728,22,max_sharpe
VT,0.18332333333333312,22,max_sharpe
BND,0.0,22,market_cap
GLD,0.0,22,market_cap
GSG,0.0,22,market_cap
SGOV,0.0,22,market_cap
VT,1.0,22,market_cap
BND,0.19999999999999957,22,equal_weight
GLD,0.19999999999999957,22,equal_weight
GSG,0.19999999999999957,22,equal_weight
SGOV,0.19999999999999957,22,equal_weight
VT,0.19999999999999957,22,equal_weight
BND,0.3000000000000002,23,min_variance
GLD,0.09999999999999978,23,min_variance
GSG,0.09999999999999978,23,min_variance
SGOV,0.39999999999999913,23,min_variance
VT,0.09999999999999978,23,min_variance
BND,0.25770358974358987,23,max_sharpe
GLD,0.1940286324786325,23,max_sharpe
GSG,0.1640011111111115,23,max_sharpe
SGOV,0.17544974358974358,23,max_sharpe
VT,0.208816837606838,23,max_sharpe
BND,0.0,23,market_cap
GLD,0.0,23,market_cap
GSG,0.0,23,market_cap
SGOV,0.0,23,market_cap
VT,1.0,23,market_cap
BND,0.19999999999999957,23,equal_weight
GLD,0.19999999999999957,23,equal_weight
GSG,0.19999999999999957,23,equal_weight
SGOV,0.19999999999999957,23,equal_weight
VT,0.19999999999999957,23,equal_weight
BND,0.3000000000000002,24,min_variance
GLD,0.09999999999999978,24,min_variance
GSG,0.09999999999999978,24,min_variance
SGOV,0.39999999999999913,24,min_variance
VT,0.09999999999999978,24,min_variance
BND,0.21914094017094077,24,max_sharpe
GLD,0.2501996581196578,24,max_sharpe
GSG,0.10891230769230749,24,max_sharpe
SGOV,0.26056606837606827,24,max_sharpe
VT,0.16118085470085466,24,max_sharpe
BND,0.0,24,market_cap
GLD,0.0,24,market_cap
GSG,0.0,24,market_cap
SGOV,0.0,24,market_cap
VT,1.0,24,market_cap
BND,0.19999999999999957,24,equal_weight
GLD,0.19999999999999957,24,equal_weight
GSG,0.19999999999999957,24,equal_weight
SGOV,0.19999999999999957,24,equal_weight
VT,0.19999999999999957,24,equal_weight
BND,0.3000000000000002,25,min_variance
GLD,0.09999999999999978,25,min_variance
GSG,0.09999999999999978,25,min_variance
SGOV,0.39999999999999913,25,min_variance
VT,0.09999999999999978,25,min_variance
BND,0.2567800854700859,25,max_sharpe
GLD,0.20478769230769234,25,max_sharpe
GSG,0.10022478632478611,25,max_sharpe
SGOV,0.2041867521367522,25,max_sharpe
VT,0.2340205128205131,25,max_sharpe
BND,0.0,25,market_cap
GLD,0.0,25,market_cap
GSG,0.0,25,market_cap
SGOV,0.0,25,market_cap
VT,1.0,25,market_cap
BND,0.19999999999999957,25,equal_weight
GLD,0.19999999999999957,25,equal_weight
GSG,0.19999999999999957,25,equal_weight
SGOV,0.19999999999999957,25,equal_weight
VT,0.19999999999999957,25,equal_weight
BND,0.3000000000000002,26,min_variance
GLD,0.09999999999999978,26,min_variance
GSG,0.09999999999999978,26,min_variance
SGOV,0.39999999999999913,26,min_variance
VT,0.09999999999999978,26,min_variance
BND,0.25366341880341914,26,max_sharpe
GLD,0.17613025641025662,26,max_sharpe
GSG,0.16725581196581196,26,max_sharpe
SGOV,0.2528016239316239,26,max_sharpe
VT,0.150148717948718,26,max_sharpe
BND,0.0,26,market_cap
GLD,0.0,26,market_cap
GSG,0.0,26,market_cap
SGOV,0.0,26,market_cap
VT,1.0,26,market_cap
BND,0.19999999999999957,26,equal_weight
GLD,0.19999999999999957,26,equal_weight
GSG,0.19999999999999957,26,equal_weight
SGOV,0.19999999999999957,26,equal_weight
VT,0.19999999999999957,26,equal_weight
BND,0.3000000000000002,27,min_variance
GLD,0.09999999999999978,27,min_variance
GSG,0.09999999999999978,27,min_variance
SGOV,0.39999999999999913,27,min_variance
VT,0.09999999999999978,27,min_variance
BND,0.20751478632478645,27,max_sharpe
GLD,0.26857641025641044,27,max_sharpe
GSG,0.14981418803418814,27,max_sharpe
SGOV,0.21657589743589778,27,max_sharpe
VT,0.15751846153846177,27,max_sharpe
BND,0.0,27,market_cap
GLD,0.0,27,market_cap
GSG,0.0,27,market_cap
SGOV,0.0,27,market_cap
VT,1.0,27,market_cap
BND,0.19999999999999957,27,equal_weight
GLD,0.19999999999999957,27,equal_weight
GSG,0.19999999999999957,27,equal_weight
SGOV,0.19999999999999957,27,equal_weight
VT,0.19999999999999957,27,equal_weight
BND,0.3000000000000002,28,min_variance
GLD,0.09999999999999978,28,min_variance
GSG,0.09999999999999978,28,min_variance
SGOV,0.39999999999999913,28,min_variance
VT,0.09999999999999978,28,min_variance
BND,0.24143264957264982,28,max_sharpe
GLD,0.15227581196581175,28,max_sharpe
GSG,0.11254051282051267,28,max_sharpe
SGOV,0.20928128205128252,28,max_sharpe
VT,0.28446991452991416,28,max_sharpe
BND,0.0,28,market_cap
GLD,0.0,28,market_cap
GSG,0.0,28,market_cap
SGOV,0.0,28,market_cap
VT,1.0,28,market_cap
BND,0.19999999999999957,28,equal_weight
GLD,0.19999999999999957,28,equal_weight
GSG,0.19999999999999957,28,equal_weight
SGOV,0.19999999999999957,28,equal_weight
VT,0.19999999999999957,28,equal_weight
BND,0.3000000000000002,29,min_variance
GLD,0.09999999999999978,29,min_variance
GSG,0.09999999999999978,29,min_variance
SGOV,0.39999999999999913,29,min_variance
VT,0.09999999999999978,29,min_variance
BND,0.2502826495726497,29,max_sharpe
GLD,0.2578858974358975,29,max_sharpe
GSG,0.107118034188034,29,max_sharpe
SGOV,0.247810512820513,29,max_sharpe
VT,0.1369031623931622,29,max_sharpe
BND,0.0,29,market_cap
GLD,0.0,29,market_cap
GSG,0.0,29,market_cap
SGOV,0.0,29,market_cap
VT,1.0,29,market_cap
BND,0.19999999999999957,29,equal_weight
GLD,0.19999999999999957,29,equal_weight
GSG,0.19999999999999957,29,equal_weight
SGOV,0.19999999999999957,29,equal_weight
VT,0.19999999999999957,29,equal_weight
BND,0.3000000000000002,30,min_variance
GLD,0.09999999999999978,30,min_variance
GSG,0.09999999999999978,30,min_variance
SGOV,0.39999999999999913,30,min_variance
VT,0.09999999999999978,30,min_variance
BND,0.2182317948717948,30,max_sharpe
GLD,0.20631059829059814,30,max_sharpe
GSG,0.14560136752136743,30,max_sharpe
SGOV,0.28240829059829065,30,max_sharpe
VT,0.14744820512820514,30,max_sharpe
BND,0.0,30,market_cap
GLD,0.0,30,market_cap
GSG,0.0,30,market_cap
SGOV,0.0,30,market_cap
VT,1.0,30,market_cap
BND,0.19999999999999957,30,equal_weight
GLD,0.19999999999999957,30,equal_weight
GSG,0.19999999999999957,30,equal_weight
SGOV,0.19999999999999957,30,equal_weight
VT,0.19999999999999957,30,equal_weight
BND,0.3000000000000002,31,min_variance
GLD,0.09999999999999978,31,min_variance
GSG,0.09999999999999978,31,min_variance
SGOV,0.39999999999999913,31,min_variance
VT,0.09999999999999978,31,min_variance
BND,0.21973102564102576,31,max_sharpe
GLD,0.24602743589743561,31,max_sharpe
GSG,0.12242615384615371,31,max_sharpe
SGOV,0.2334049572649576,31,max_sharpe
VT,0.17841034188034208,31,max_sharpe
BND,0.0,31,market_cap
GLD,0.0,31,market_cap
GSG,0.0,31,market_cap
SGOV,0.0,31,market_cap
VT,1.0,31,market_cap
BND,0.19999999999999957,31,equal_weight
GLD,0.19999999999999957,31,equal_weight
GSG,0.19999999999999957,31,equal_weight
SGOV,0.19999999999999957,31,equal_weight
VT,0.19999999999999957,31,equal_weight
BND,0.3000000000000002,32,min_variance
GLD,0.09999999999999978,32,min_variance
GSG,0.09999999999999978,32,min_variance
SGOV,0.39999999999999913,32,min_variance
VT,0.09999999999999978,32,min_variance
BND,0.2055394017094023,32,max_sharpe
GLD,0.28504675213675207,32,max_sharpe
GSG,0.10454760683760664,32,max_sharpe
SGOV,0.2444855555555555,32,max_sharpe
VT,0.16038068376068404,32,max_sharpe
BND,0.0,32,market_cap
GLD,0.0,32,market_cap
GSG,0.0,32,market_cap
SGOV,0.0,32,market_cap
VT,1.0,32,market_cap
BND,0.19999999999999957,32,equal_weight
GLD,0.19999999999999957,32,equal_weight
GSG,0.19999999999999957,32,equal_weight
SGOV,0.19999999999999957,32,equal_weight
VT,0.19999999999999957,32,equal_weight
BND,0.3000000000000002,33,min_variance
GLD,0.09999999999999978,33,min_variance
GSG,0.09999999999999978,33,min_variance
SGOV,0.39999999999999913,33,min_variance
VT,0.09999999999999978,33,min_variance
BND,0.2542720512820519,33,max_sharpe
GLD,0.16729179487179474,33,max_sharpe
GSG,0.1223919658119656,33,max_sharpe
SGOV,0.22569564102564119,33,max_sharpe
VT,0.23034854700854743,33,max_sharpe
BND,0.0,33,market_cap
GLD,0.0,33,market_cap
GSG,0.0,33,market_cap
SGOV,0.0,33,market_cap
VT,1.0,33,market_cap
BND,0.19999999999999957,33,equal_weight
GLD,0.19999999999999957,33,equal_weight
GSG,0.19999999999999957,33,equal_weight
SGOV,0.19999999999999957,33,equal_weight
VT,0.19999999999999957,33,equal_weight
BND,0.3000000000000002,34,min_variance
GLD,0.09999999999999978,34,min_variance
GSG,0.09999999999999978,34,min_variance
